2015-12-14 15:15:44,368 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SIGEAS:SIGEAS:0.0.1-SNAPSHOT @ /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/pom.xml.
2015-12-14 15:15:44,378 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SIGEAS:SIGEAS:0.0.1-SNAPSHOT @ /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/pom.xml.
2015-12-14 15:15:47,085 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:15:47,095 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/src/main/resources
2015-12-14 15:15:47,101 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:15:47,102 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/src/test/resources
2015-12-14 15:15:48,573 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SIGEAS:SIGEAS:0.0.1-SNAPSHOT @ /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/pom.xml.
2015-12-14 15:15:48,737 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SIGEAS:SIGEAS:0.0.1-SNAPSHOT @ /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/pom.xml.
2015-12-14 15:15:54,218 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-14 15:15:54,220 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/luiz-pereira/CAF64543F645314D/Documentos/Dropbox/Faculdade/7-Período/PJ2/Eclipse-Projects/SIGEAS/01-SISTEMA/03-IMPLEMENTACAO/SIGEAS/src/main/resources
2015-12-14 15:15:54,222 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
